CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1Pro 3 ; Serial number 0"
DESCRIPTOR	"patchs_2871"
FILTER	""
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED		"2020-08-25T10:06:24"

NUMBER_OF_FIELDS	5
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	
END_DATA_FORMAT

NUMBER_OF_SETS	2871
BEGIN_DATA
457	"457"	  224.00	  196.00	  168.00	
458	"458"	  168.00	  140.00	    0.00	
459	"459"	  255.00	   56.00	  112.00	
460	"460"	  168.00	  168.00	    0.00	
461	"461"	  154.00	   42.00	   42.00	
462	"462"	  196.00	  112.00	    0.00	
463	"463"	  210.00	   42.00	   42.00	
464	"464"	  112.00	  224.00	  112.00	
465	"465"	   14.00	   28.00	   28.00	
466	"466"	   56.00	  224.00	   84.00	
467	"467"	   42.00	  210.00	   98.00	
468	"468"	   42.00	   14.00	  238.00	
469	"469"	  224.00	  112.00	   28.00	
470	"470"	  140.00	  140.00	   56.00	
471	"471"	  224.00	  255.00	  196.00	
472	"472"	   56.00	  112.00	  224.00	
473	"473"	  245.00	  252.00	  245.00	
474	"474"	  255.00	   28.00	  168.00	
475	"475"	   98.00	   42.00	  238.00	
476	"476"	   98.00	  210.00	   42.00	
477	"477"	   14.00	  126.00	   98.00	
478	"478"	   28.00	  196.00	  196.00	
479	"479"	  196.00	  112.00	  196.00	
480	"480"	  255.00	   84.00	   84.00	
481	"481"	  112.00	   28.00	   84.00	
482	"482"	  140.00	  112.00	  196.00	
483	"483"	  126.00	  154.00	   70.00	
484	"484"	  182.00	  182.00	   14.00	
485	"485"	  168.00	  140.00	  224.00	
486	"486"	  238.00	   42.00	  126.00	
487	"487"	  168.00	  112.00	    0.00	
488	"488"	  210.00	  210.00	  238.00	
489	"489"	   98.00	   98.00	   70.00	
490	"490"	  196.00	  224.00	  168.00	
491	"491"	   42.00	   98.00	  238.00	
492	"492"	   42.00	   14.00	   70.00	
493	"493"	  224.00	  224.00	  224.00	
494	"494"	  224.00	  112.00	  224.00	
495	"495"	  224.00	  255.00	  140.00	
496	"496"	   42.00	   98.00	  210.00	
497	"497"	  210.00	  126.00	  210.00	
498	"498"	   14.00	  210.00	  182.00	
499	"499"	   84.00	   84.00	  255.00	
500	"500"	  112.00	   84.00	  112.00	
501	"501"	  168.00	   28.00	   56.00	
502	"502"	   42.00	  210.00	  126.00	
503	"503"	  175.00	  182.00	  175.00	
504	"504"	   14.00	  238.00	   98.00	
505	"505"	  154.00	   14.00	  210.00	
506	"506"	   56.00	  140.00	   84.00	
507	"507"	   14.00	  182.00	  238.00	
508	"508"	  210.00	   14.00	   98.00	
509	"509"	    0.00	  112.00	  255.00	
510	"510"	   56.00	  140.00	  196.00	
511	"511"	   56.00	    0.00	  140.00	
512	"512"	   98.00	  210.00	  210.00	
513	"513"	  126.00	   42.00	   42.00	
514	"514"	  196.00	  140.00	  168.00	
515	"515"	    0.00	  224.00	    0.00	
516	"516"	   28.00	  196.00	  168.00	
517	"517"	  126.00	  154.00	   98.00	
518	"518"	   70.00	  182.00	   42.00	
519	"519"	  196.00	  189.00	  196.00	
520	"520"	  168.00	   84.00	  168.00	
521	"521"	  182.00	  126.00	   70.00	
522	"522"	  182.00	   98.00	   70.00	
523	"523"	   84.00	  168.00	   84.00	
524	"524"	  196.00	   28.00	    0.00	
525	"525"	  196.00	  140.00	   84.00	
526	"526"	  105.00	  105.00	  105.00	
527	"527"	   14.00	   42.00	  154.00	
528	"528"	    0.00	   84.00	  224.00	
529	"529"	  238.00	   98.00	  210.00	
530	"530"	  182.00	  182.00	  154.00	
531	"531"	  210.00	  126.00	   98.00	
532	"532"	  140.00	  168.00	   28.00	
533	"533"	  196.00	  182.00	  196.00	
534	"534"	  126.00	  210.00	   42.00	
535	"535"	  112.00	  168.00	    0.00	
536	"536"	  196.00	   56.00	   84.00	
537	"537"	   28.00	  140.00	   28.00	
538	"538"	   28.00	   56.00	  168.00	
539	"539"	   84.00	  224.00	  168.00	
540	"540"	  196.00	  168.00	   84.00	
541	"541"	    0.00	  112.00	  112.00	
542	"542"	  210.00	  210.00	   98.00	
543	"543"	  196.00	  255.00	  224.00	
544	"544"	   70.00	  182.00	  238.00	
545	"545"	   56.00	  196.00	  168.00	
546	"546"	   84.00	  224.00	  224.00	
547	"547"	  126.00	   98.00	   14.00	
548	"548"	  238.00	   42.00	  154.00	
549	"549"	  126.00	   42.00	  154.00	
550	"550"	  210.00	   42.00	   70.00	
551	"551"	  154.00	   14.00	   70.00	
552	"552"	    0.00	  112.00	   84.00	
553	"553"	  196.00	    0.00	  168.00	
554	"554"	   98.00	  126.00	   70.00	
555	"555"	  196.00	  140.00	  140.00	
556	"556"	  238.00	   70.00	  126.00	
557	"557"	  224.00	  140.00	   28.00	
558	"558"	  140.00	  140.00	   84.00	
559	"559"	   98.00	  238.00	   14.00	
560	"560"	   84.00	   56.00	  140.00	
561	"561"	  255.00	    0.00	  140.00	
562	"562"	  112.00	   98.00	  112.00	
563	"563"	   42.00	  238.00	   70.00	
564	"564"	  168.00	  112.00	   84.00	
565	"565"	   84.00	   84.00	   28.00	
566	"566"	   42.00	  126.00	  182.00	
567	"567"	  238.00	  126.00	   70.00	
568	"568"	   84.00	  224.00	   84.00	
569	"569"	    0.00	    0.00	   56.00	
570	"570"	  168.00	  168.00	   56.00	
571	"571"	  147.00	  147.00	  147.00	
572	"572"	   84.00	    0.00	   84.00	
573	"573"	  154.00	  182.00	   42.00	
574	"574"	  154.00	   14.00	  238.00	
575	"575"	  182.00	  196.00	  182.00	
576	"576"	   70.00	  210.00	  182.00	
577	"577"	  168.00	   56.00	  112.00	
578	"578"	   56.00	  140.00	  140.00	
579	"579"	  224.00	   28.00	  196.00	
580	"580"	  224.00	  224.00	   56.00	
581	"581"	   56.00	  196.00	  255.00	
582	"582"	  224.00	    0.00	  140.00	
583	"583"	  126.00	  210.00	  182.00	
584	"584"	   35.00	   42.00	   35.00	
585	"585"	   70.00	   98.00	  210.00	
586	"586"	  196.00	    0.00	  112.00	
587	"587"	    0.00	   28.00	  224.00	
588	"588"	   56.00	  255.00	   56.00	
589	"589"	  210.00	  210.00	  126.00	
590	"590"	   56.00	  140.00	  255.00	
591	"591"	   84.00	  255.00	  255.00	
592	"592"	   28.00	   84.00	   84.00	
593	"593"	    0.00	   84.00	   28.00	
594	"594"	   14.00	  182.00	   42.00	
595	"595"	   28.00	  168.00	  112.00	
596	"596"	   70.00	   84.00	   84.00	
597	"597"	   98.00	  182.00	  126.00	
598	"598"	  154.00	   98.00	  210.00	
599	"599"	  140.00	  255.00	   28.00	
600	"600"	  126.00	  126.00	   14.00	
601	"601"	  210.00	   14.00	  210.00	
