CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1Pro 2 ; Serial number 0"
DESCRIPTOR	"Chart 522 Patches"
FILTER	""
CREATED		"2020-05-25T13:37:56"

NUMBER_OF_FIELDS	5
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	
END_DATA_FORMAT

NUMBER_OF_SETS	522
BEGIN_DATA
252	N18	  109.00	  255.00	  109.00	
253	O1	  145.00	  255.00	  109.00	
254	O2	  182.00	  255.00	  109.00	
255	O3	  218.00	  255.00	  109.00	
256	O4	  255.00	  255.00	  109.00	
257	O5	    0.00	    0.00	  145.00	
258	O6	   36.00	    0.00	  145.00	
259	O7	   72.00	    0.00	  145.00	
260	O8	  109.00	    0.00	  145.00	
261	O9	  145.00	    0.00	  145.00	
262	O10	  182.00	    0.00	  145.00	
263	O11	  218.00	    0.00	  145.00	
264	O12	  255.00	    0.00	  145.00	
265	O13	    0.00	   36.00	  145.00	
266	O14	   36.00	   36.00	  145.00	
267	O15	   72.00	   36.00	  145.00	
268	O16	  109.00	   36.00	  145.00	
269	O17	  145.00	   36.00	  145.00	
270	O18	  182.00	   36.00	  145.00	
271	P1	  218.00	   36.00	  145.00	
272	P2	  255.00	   36.00	  145.00	
273	P3	    0.00	   72.00	  145.00	
274	P4	   36.00	   72.00	  145.00	
275	P5	   72.00	   72.00	  145.00	
276	P6	  109.00	   72.00	  145.00	
277	P7	  145.00	   72.00	  145.00	
278	P8	  182.00	   72.00	  145.00	
279	P9	  218.00	   72.00	  145.00	
280	P10	  255.00	   72.00	  145.00	
281	P11	    0.00	  109.00	  145.00	
282	P12	   36.00	  109.00	  145.00	
283	P13	   72.00	  109.00	  145.00	
284	P14	  109.00	  109.00	  145.00	
285	P15	  145.00	  109.00	  145.00	
286	P16	  182.00	  109.00	  145.00	
287	P17	  218.00	  109.00	  145.00	
288	P18	  255.00	  109.00	  145.00	
289	Q1	    0.00	  145.00	  145.00	
290	Q2	   36.00	  145.00	  145.00	
291	Q3	   72.00	  145.00	  145.00	
292	Q4	  109.00	  145.00	  145.00	
293	Q5	  145.00	  145.00	  145.00	
294	Q6	  182.00	  145.00	  145.00	
295	Q7	  218.00	  145.00	  145.00	
296	Q8	  255.00	  145.00	  145.00	
297	Q9	    0.00	  182.00	  145.00	
298	Q10	   36.00	  182.00	  145.00	
299	Q11	   72.00	  182.00	  145.00	
300	Q12	  109.00	  182.00	  145.00	
301	Q13	  145.00	  182.00	  145.00	
302	Q14	  182.00	  182.00	  145.00	
303	Q15	  218.00	  182.00	  145.00	
304	Q16	  255.00	  182.00	  145.00	
305	Q17	    0.00	  218.00	  145.00	
306	Q18	   36.00	  218.00	  145.00	
307	R1	   72.00	  218.00	  145.00	
308	R2	  109.00	  218.00	  145.00	
309	R3	  145.00	  218.00	  145.00	
310	R4	  182.00	  218.00	  145.00	
311	R5	  218.00	  218.00	  145.00	
312	R6	  255.00	  218.00	  145.00	
313	R7	    0.00	  255.00	  145.00	
314	R8	   36.00	  255.00	  145.00	
315	R9	   72.00	  255.00	  145.00	
316	R10	  109.00	  255.00	  145.00	
317	R11	  145.00	  255.00	  145.00	
318	R12	  182.00	  255.00	  145.00	
319	R13	  218.00	  255.00	  145.00	
320	R14	  255.00	  255.00	  145.00	
321	R15	    0.00	    0.00	  182.00	
322	R16	   36.00	    0.00	  182.00	
323	R17	   72.00	    0.00	  182.00	
324	R18	  109.00	    0.00	  182.00	
325	S1	  145.00	    0.00	  182.00	
326	S2	  182.00	    0.00	  182.00	
327	S3	  218.00	    0.00	  182.00	
328	S4	  255.00	    0.00	  182.00	
329	S5	    0.00	   36.00	  182.00	
330	S6	   36.00	   36.00	  182.00	
331	S7	   72.00	   36.00	  182.00	
332	S8	  109.00	   36.00	  182.00	
333	S9	  145.00	   36.00	  182.00	
334	S10	  182.00	   36.00	  182.00	
335	S11	  218.00	   36.00	  182.00	
336	S12	  255.00	   36.00	  182.00	
337	S13	    0.00	   72.00	  182.00	
338	S14	   36.00	   72.00	  182.00	
339	S15	   72.00	   72.00	  182.00	
340	S16	  109.00	   72.00	  182.00	
341	S17	  145.00	   72.00	  182.00	
342	S18	  182.00	   72.00	  182.00	
343	T1	  218.00	   72.00	  182.00	
344	T2	  255.00	   72.00	  182.00	
345	T3	    0.00	  109.00	  182.00	
346	T4	   36.00	  109.00	  182.00	
347	T5	   72.00	  109.00	  182.00	
348	T6	  109.00	  109.00	  182.00	
349	T7	  145.00	  109.00	  182.00	
350	T8	  182.00	  109.00	  182.00	
351	T9	  218.00	  109.00	  182.00	
352	T10	  255.00	  109.00	  182.00	
353	T11	    0.00	  145.00	  182.00	
354	T12	   36.00	  145.00	  182.00	
355	T13	   72.00	  145.00	  182.00	
356	T14	  109.00	  145.00	  182.00	
357	T15	  145.00	  145.00	  182.00	
358	T16	  182.00	  145.00	  182.00	
359	T17	  218.00	  145.00	  182.00	
360	T18	  255.00	  145.00	  182.00	
361	U1	    0.00	  182.00	  182.00	
362	U2	   36.00	  182.00	  182.00	
363	U3	   72.00	  182.00	  182.00	
364	U4	  109.00	  182.00	  182.00	
365	U5	  145.00	  182.00	  182.00	
366	U6	  182.00	  182.00	  182.00	
367	U7	  218.00	  182.00	  182.00	
368	U8	  255.00	  182.00	  182.00	
369	U9	    0.00	  218.00	  182.00	
370	U10	   36.00	  218.00	  182.00	
371	U11	   72.00	  218.00	  182.00	
372	U12	  109.00	  218.00	  182.00	
373	U13	  145.00	  218.00	  182.00	
374	U14	  182.00	  218.00	  182.00	
375	U15	  218.00	  218.00	  182.00	
376	U16	  255.00	  218.00	  182.00	
377	U17	    0.00	  255.00	  182.00	
378	U18	   36.00	  255.00	  182.00	
379	V1	   72.00	  255.00	  182.00	
380	V2	  109.00	  255.00	  182.00	
381	V3	  145.00	  255.00	  182.00	
382	V4	  182.00	  255.00	  182.00	
383	V5	  218.00	  255.00	  182.00	
384	V6	  255.00	  255.00	  182.00	
385	V7	    0.00	    0.00	  218.00	
386	V8	   36.00	    0.00	  218.00	
387	V9	   72.00	    0.00	  218.00	
388	V10	  109.00	    0.00	  218.00	
389	V11	  145.00	    0.00	  218.00	
390	V12	  182.00	    0.00	  218.00	
391	V13	  218.00	    0.00	  218.00	
392	V14	  255.00	    0.00	  218.00	
393	V15	    0.00	   36.00	  218.00	
394	V16	   36.00	   36.00	  218.00	
395	V17	   72.00	   36.00	  218.00	
396	V18	  109.00	   36.00	  218.00	
397	W1	  145.00	   36.00	  218.00	
398	W2	  182.00	   36.00	  218.00	
399	W3	  218.00	   36.00	  218.00	
400	W4	  255.00	   36.00	  218.00	
401	W5	    0.00	   72.00	  218.00	
402	W6	   36.00	   72.00	  218.00	
403	W7	   72.00	   72.00	  218.00	
404	W8	  109.00	   72.00	  218.00	
405	W9	  145.00	   72.00	  218.00	
406	W10	  182.00	   72.00	  218.00	
407	W11	  218.00	   72.00	  218.00	
408	W12	  255.00	   72.00	  218.00	
409	W13	    0.00	  109.00	  218.00	
410	W14	   36.00	  109.00	  218.00	
411	W15	   72.00	  109.00	  218.00	
412	W16	  109.00	  109.00	  218.00	
413	W17	  145.00	  109.00	  218.00	
414	W18	  182.00	  109.00	  218.00	
415	X1	  218.00	  109.00	  218.00	
416	X2	  255.00	  109.00	  218.00	
417	X3	    0.00	  145.00	  218.00	
418	X4	   36.00	  145.00	  218.00	
419	X5	   72.00	  145.00	  218.00	
420	X6	  109.00	  145.00	  218.00	
421	X7	  145.00	  145.00	  218.00	
422	X8	  182.00	  145.00	  218.00	
423	X9	  218.00	  145.00	  218.00	
424	X10	  255.00	  145.00	  218.00	
425	X11	    0.00	  182.00	  218.00	
426	X12	   36.00	  182.00	  218.00	
427	X13	   72.00	  182.00	  218.00	
428	X14	  109.00	  182.00	  218.00	
429	X15	  145.00	  182.00	  218.00	
430	X16	  182.00	  182.00	  218.00	
431	X17	  218.00	  182.00	  218.00	
432	X18	  255.00	  182.00	  218.00	
433	Y1	    0.00	  218.00	  218.00	
434	Y2	   36.00	  218.00	  218.00	
435	Y3	   72.00	  218.00	  218.00	
436	Y4	  109.00	  218.00	  218.00	
437	Y5	  145.00	  218.00	  218.00	
438	Y6	  182.00	  218.00	  218.00	
439	Y7	  218.00	  218.00	  218.00	
440	Y8	  255.00	  218.00	  218.00	
441	Y9	    0.00	  255.00	  218.00	
442	Y10	   36.00	  255.00	  218.00	
443	Y11	   72.00	  255.00	  218.00	
444	Y12	  109.00	  255.00	  218.00	
445	Y13	  145.00	  255.00	  218.00	
446	Y14	  182.00	  255.00	  218.00	
447	Y15	  218.00	  255.00	  218.00	
448	Y16	  255.00	  255.00	  218.00	
449	Y17	    0.00	    0.00	  255.00	
450	Y18	   36.00	    0.00	  255.00	
451	Z1	   72.00	    0.00	  255.00	
452	Z2	  109.00	    0.00	  255.00	
453	Z3	  145.00	    0.00	  255.00	
454	Z4	  182.00	    0.00	  255.00	
455	Z5	  218.00	    0.00	  255.00	
456	Z6	  255.00	    0.00	  255.00	
457	Z7	    0.00	   36.00	  255.00	
458	Z8	   36.00	   36.00	  255.00	
459	Z9	   72.00	   36.00	  255.00	
460	Z10	  109.00	   36.00	  255.00	
461	Z11	  145.00	   36.00	  255.00	
462	Z12	  182.00	   36.00	  255.00	
463	Z13	  218.00	   36.00	  255.00	
464	Z14	  255.00	   36.00	  255.00	
