CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1Pro 2 ; Serial number 1004797"
DESCRIPTOR	"Chart 522 Patches"
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"UV"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED		"2020-05-23T20:32:52"

NUMBER_OF_FIELDS	47
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	SPECTRAL_NM380	SPECTRAL_NM390	SPECTRAL_NM400	SPECTRAL_NM410	SPECTRAL_NM420	SPECTRAL_NM430	SPECTRAL_NM440	SPECTRAL_NM450	SPECTRAL_NM460	SPECTRAL_NM470	SPECTRAL_NM480	SPECTRAL_NM490	SPECTRAL_NM500	SPECTRAL_NM510	SPECTRAL_NM520	SPECTRAL_NM530	SPECTRAL_NM540	SPECTRAL_NM550	SPECTRAL_NM560	SPECTRAL_NM570	SPECTRAL_NM580	SPECTRAL_NM590	SPECTRAL_NM600	SPECTRAL_NM610	SPECTRAL_NM620	SPECTRAL_NM630	SPECTRAL_NM640	SPECTRAL_NM650	SPECTRAL_NM660	SPECTRAL_NM670	SPECTRAL_NM680	SPECTRAL_NM690	SPECTRAL_NM700	SPECTRAL_NM710	SPECTRAL_NM720	SPECTRAL_NM730	
END_DATA_FORMAT

NUMBER_OF_SETS	522
BEGIN_DATA
23	B5	  218.00	   72.00	    0.00	 0.31285	 0.20694	 0.01398	   52.61	   47.83	   66.93	    0.0176	    0.0159	    0.0154	    0.0148	    0.0135	    0.0132	    0.0127	    0.0123	    0.0125	    0.0134	    0.0157	    0.0234	    0.0431	    0.0665	    0.0845	    0.0909	    0.0795	    0.0685	    0.0729	    0.1152	    0.2560	    0.4242	    0.4947	    0.5189	    0.5335	    0.5462	    0.5601	    0.5753	    0.5899	    0.6010	    0.6073	    0.6104	    0.6143	    0.6192	    0.6297	    0.6476	
24	B6	  255.00	   72.00	    0.00	 0.45673	 0.28901	 0.01511	   60.69	   59.18	   79.52	    0.0150	    0.0149	    0.0157	    0.0146	    0.0144	    0.0142	    0.0135	    0.0133	    0.0133	    0.0142	    0.0167	    0.0240	    0.0451	    0.0754	    0.1005	    0.1093	    0.0960	    0.0829	    0.0885	    0.1414	    0.3299	    0.5877	    0.7315	    0.7945	    0.8230	    0.8370	    0.8481	    0.8582	    0.8677	    0.8760	    0.8838	    0.8898	    0.8972	    0.9021	    0.9028	    0.9069	
25	B7	    0.00	  109.00	    0.00	 0.01606	 0.03405	 0.01563	   21.60	  -34.38	   11.51	    0.0115	    0.0152	    0.0149	    0.0144	    0.0145	    0.0146	    0.0144	    0.0139	    0.0140	    0.0147	    0.0185	    0.0321	    0.0580	    0.0775	    0.0796	    0.0699	    0.0550	    0.0386	    0.0248	    0.0170	    0.0133	    0.0116	    0.0107	    0.0100	    0.0098	    0.0097	    0.0099	    0.0103	    0.0113	    0.0119	    0.0117	    0.0110	    0.0103	    0.0106	    0.0119	    0.0152	
26	B8	   36.00	  109.00	    0.00	 0.02828	 0.04446	 0.01355	   25.09	  -22.94	   20.02	    0.0116	    0.0120	    0.0130	    0.0130	    0.0124	    0.0121	    0.0121	    0.0118	    0.0120	    0.0133	    0.0161	    0.0265	    0.0488	    0.0682	    0.0745	    0.0725	    0.0660	    0.0557	    0.0441	    0.0352	    0.0300	    0.0269	    0.0245	    0.0229	    0.0227	    0.0235	    0.0255	    0.0287	    0.0324	    0.0344	    0.0341	    0.0323	    0.0302	    0.0296	    0.0335	    0.0422	
27	B9	   72.00	  109.00	    0.00	 0.05594	 0.06768	 0.01408	   31.27	  -10.19	   30.02	    0.0131	    0.0124	    0.0125	    0.0119	    0.0120	    0.0129	    0.0130	    0.0125	    0.0127	    0.0138	    0.0164	    0.0252	    0.0467	    0.0699	    0.0810	    0.0842	    0.0836	    0.0786	    0.0715	    0.0665	    0.0638	    0.0617	    0.0592	    0.0577	    0.0585	    0.0610	    0.0650	    0.0707	    0.0771	    0.0810	    0.0811	    0.0794	    0.0769	    0.0765	    0.0825	    0.0948	
28	B10	  109.00	  109.00	    0.00	 0.10270	 0.10494	 0.01635	   38.72	    1.17	   40.22	    0.0138	    0.0135	    0.0139	    0.0148	    0.0144	    0.0150	    0.0148	    0.0147	    0.0149	    0.0161	    0.0188	    0.0278	    0.0520	    0.0806	    0.0958	    0.1032	    0.1072	    0.1066	    0.1053	    0.1097	    0.1169	    0.1216	    0.1221	    0.1223	    0.1251	    0.1300	    0.1366	    0.1448	    0.1532	    0.1589	    0.1607	    0.1603	    0.1594	    0.1609	    0.1689	    0.1832	
29	B11	  145.00	  109.00	    0.00	 0.15559	 0.14097	 0.01740	   44.37	   11.98	   48.83	    0.0176	    0.0150	    0.0159	    0.0160	    0.0155	    0.0152	    0.0152	    0.0150	    0.0153	    0.0166	    0.0195	    0.0297	    0.0590	    0.0935	    0.1131	    0.1218	    0.1213	    0.1158	    0.1162	    0.1336	    0.1697	    0.1979	    0.2045	    0.2063	    0.2111	    0.2185	    0.2283	    0.2404	    0.2528	    0.2606	    0.2630	    0.2623	    0.2608	    0.2625	    0.2741	    0.2946	
30	B12	  182.00	  109.00	    0.00	 0.23392	 0.18974	 0.01732	   50.66	   24.53	   59.76	    0.0160	    0.0167	    0.0150	    0.0150	    0.0148	    0.0147	    0.0146	    0.0142	    0.0146	    0.0159	    0.0188	    0.0293	    0.0613	    0.1019	    0.1284	    0.1392	    0.1334	    0.1233	    0.1262	    0.1595	    0.2392	    0.3106	    0.3322	    0.3387	    0.3466	    0.3567	    0.3697	    0.3848	    0.4000	    0.4102	    0.4141	    0.4141	    0.4134	    0.4167	    0.4297	    0.4517	
31	B13	  218.00	  109.00	    0.00	 0.33532	 0.25255	 0.01749	   57.32	   35.56	   71.07	    0.0146	    0.0154	    0.0146	    0.0153	    0.0154	    0.0152	    0.0146	    0.0139	    0.0141	    0.0152	    0.0178	    0.0278	    0.0613	    0.1096	    0.1454	    0.1599	    0.1506	    0.1377	    0.1436	    0.1923	    0.3205	    0.4504	    0.4991	    0.5157	    0.5274	    0.5387	    0.5523	    0.5671	    0.5818	    0.5926	    0.5991	    0.6024	    0.6060	    0.6116	    0.6217	    0.6369	
32	B14	  255.00	  109.00	    0.00	 0.49003	 0.35321	 0.01883	   66.00	   45.57	   84.65	    0.0170	    0.0174	    0.0161	    0.0158	    0.0152	    0.0153	    0.0149	    0.0143	    0.0145	    0.0158	    0.0187	    0.0281	    0.0646	    0.1291	    0.1834	    0.2053	    0.1936	    0.1783	    0.1854	    0.2456	    0.4241	    0.6399	    0.7491	    0.7935	    0.8133	    0.8236	    0.8332	    0.8425	    0.8519	    0.8598	    0.8673	    0.8732	    0.8801	    0.8846	    0.8851	    0.8861	
